GERMAN,ENGLISH
ich,I
sie,she/they
das,that/the
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,we
was,what
zu,to
er,he
ein,a/an
in,in
ja,yes
mir,me
mit,with
wie,how/like
den,the
mich,me
auf,on
dass,that
aber,but
eine,a/an
so,so
hat,has
hier,here
haben,have
für,for
sind,are
war,was
von,of/from
wenn,if/when
dich,you
ihr,you plural/her
nein,no
habe,have
an,on/at
bin,am
noch,still
nur,only
da,there
dir,you
sich,oneself
einen,a/an
uns,us
hast,have
dem,the
kann,can
gut,good
auch,also
schon,already
als,as/than
sein,to be/his
mal,time/once
jetzt,now
ihn,him
dann,then
aus,from/out of
meine,my
um,around/at
im,in the
wird,will/becomes
mein,my
bist,are
doch,but/yet
alles,everything
weiß,know/white
keine,no/none
oder,or
nach,after/to
s,it/'s
nichts,nothing
man,one/someone
muss,must
werden,become
will,wants
ihnen,them
geht,goes
wo,where
etwas,something
oh,oh
mehr,more
bei,at/by
also,so/therefore
bitte,please
immer,always
hab,have
warum,why
vor,before/in front of
los,off/go
können,can
wieder,again
sagen,say
machen,make/do
danke,thanks
sehr,very
alle,all
denn,because
mann,man
tun,do
ihm,him
gehen,go
sehen,see
