GERMAN,ENGLISH
sie,she/they
ist,is
du,you
nicht,not
die,the
es,it
wir,we
was,what
zu,to
er,he
ein,a/an
in,in
ja,yes
mir,me
mit,with
wie,how/like
den,the
mich,me
dass,that
aber,but
eine,a/an
so,so
hat,has
hier,here
haben,have
sind,are
war,was
von,of/from
wenn,if/when
dich,you
ihr,you plural/her
nein,no
habe,have
an,on/at
bin,am
noch,still
nur,only
da,there
dir,you
sich,oneself
einen,a/an
hast,have
gut,good
auch,also
schon,already
als,as/than
sein,to be/his
mal,time/once
jetzt,now
ihn,him
dann,then
aus,from/out of
um,around/at
im,in the
wird,will/becomes
bist,are
doch,but/yet
alles,everything
weiß,know/white
keine,no/none
oder,or
s,it/'s
nichts,nothing
man,one/someone
muss,must
werden,become
will,wants
ihnen,them
geht,goes
wo,where
etwas,something
oh,oh
mehr,more
bei,at/by
also,so/therefore
bitte,please
immer,always
warum,why
vor,before/in front of
los,off/go
wieder,again
machen,make/do
danke,thanks
sehr,very
alle,all
denn,because
mann,man
ihm,him
gehen,go
sehen,see
